timestamp,gdax_best_bid_price,gdax_best_bid_quantity,gdax_best_ask_price,gdax_best_ask_quantity,gemini_best_bid_price,gemini_best_bid_quantity,gemini_best_ask_price,gemini_best_ask_quantity,sell_gdax_buy_gemini_spread_after_fees, sell_gemini_buy_gdax_spread_after_fees
2018-01-13 22:16:34.867461,14162.99,13.29113111,14163,0.49756702,14155.40,0.13216052,14165.00,0.13216052,-72.74,-78.31
2018-01-13 22:17:34.972188,14184.16000000,2.79298023,14184.17000000,0.07757556,14165.47,10,14179.98,10,-66.64,-89.49
